,Rand index,Adjusted Rand index,Mutual information,Adjusted mutual information,Normalized mutual information,Clustering accuracy,Fowlkes-Mallows index,Homogeneity,Completeness
ACSF1,0.8319145728643216,0.2554001833713861,1.0875985848418734,0.4458499245361699,0.5034425009268705,0.4565,0.35622876612508153,0.47233806392261135,0.5392628249714091
Adiac,0.9369657572474471,0.19656510981516667,1.8574967473224273,0.44412495086644066,0.5533206824537543,0.32048655569782325,0.24100238861701923,0.5151483266085575,0.5977137245897904
ArrowHead,0.6581945384788987,0.2580365102843002,0.3176143544889529,0.2993606535986289,0.30590715568287735,0.6014218009478673,0.5239192857795544,0.2905916205688369,0.32529661413826494
BME,0.6743575418994414,0.32304711396275765,0.4918325849953399,0.47132853603731795,0.4772313954631304,0.6766666666666667,0.5841970905027797,0.4476853117960363,0.5132914336003676
Beef,0.6565536723163843,0.04654955700030248,0.3348721753786315,0.13335461821513994,0.224205795386598,0.31166666666666665,0.26380172524019113,0.20806778117471683,0.24362672908630806
BeetleFly,0.7256410256410257,0.45195830158948497,0.3030855410043369,0.43334712592571495,0.44431186339569245,0.82,0.7288887261904573,0.4372600069721053,0.4518211136699167
BirdChicken,0.7646153846153847,0.5326762065791628,0.3499591674976275,0.5024853433328064,0.5145525341033067,0.8400000000000001,0.7923678520604991,0.5048843554624571,0.5349196111783889
CBF,0.9039235158628193,0.7857260946759381,0.884341484807954,0.8119630029364181,0.8123355876133486,0.9181720430107527,0.8585451423805035,0.8049623092056215,0.8198465916722567
Car,0.7697058823529411,0.43025266158680575,0.7380824730613599,0.5424143321295519,0.5563730583896908,0.705,0.5908150272667393,0.5324139618263432,0.5847813016412672
Chinatown,0.8428077865546474,0.6633947519320759,0.39460180070017914,0.6444141835002206,0.6453074629208781,0.8837465564738294,0.8767246302850626,0.6587794076152294,0.6339980676943006
ChlorineConcentration,0.5348993973991722,0.0004077172594878781,0.0007465069131995378,0.0002675160872215947,0.0007083475519050386,0.3548177385651266,0.36403359662966706,0.0007373091891688604,0.0006815751903415452
CinCECGTorso,0.6520021042392481,0.13442781463223138,0.30520100013856855,0.22763469806180492,0.2294812929944864,0.40295774647887317,0.37366289810377235,0.22015598468713232,0.2396339921372448
Coffee,0.867987012987013,0.7370654209875649,0.5001813900098389,0.7184399183176278,0.7226661200250526,0.8910714285714285,0.8821507655199234,0.7222739064568952,0.7231088735277394
Computers,0.5887174348697395,0.1777222746886161,0.10375596291807354,0.1542385692020104,0.15560409975086725,0.7029999999999998,0.6205507569717174,0.14968821316456385,0.17075939582251987
CricketX,0.8664885948454625,0.19345807188429404,0.9842724430110954,0.3839223325597377,0.4049062479071764,0.36192307692307696,0.2674238282967887,0.3961003698449068,0.41414526896045717
CricketY,0.8854244429083968,0.28697954925515345,1.1803389045861348,0.46385064897461115,0.48185033647678105,0.44833333333333336,0.350286746163084,0.4750033184090981,0.488905718359261
CricketZ,0.865829630361081,0.19839890931918394,0.9990437305161812,0.3911004686161703,0.41195858202026886,0.3726923076923077,0.27290693261978577,0.4020447732317889,0.42244394545774905
Crop,0.9327639047460311,0.25950149210407336,1.541634280373063,0.49463582480915314,0.49644151696193656,0.40745833333333337,0.2965927068754145,0.48508752924562,0.5083509578500499
DiatomSizeReduction,0.8478686557922639,0.6843393811445844,0.8691342157441839,0.7544543290721395,0.7577509163304643,0.757142857142857,0.8096469401514987,0.6588419881249812,0.9147508727279348
DistalPhalanxOutlineAgeGroup,0.7482326489230366,0.48942121462577387,0.4230471267899082,0.4536644908737606,0.4558853531190941,0.7916512059369203,0.711476636361438,0.48097647510507535,0.4334106276922826
DistalPhalanxOutlineCorrect,0.5029260273972601,0.005191027171019794,0.006617041142029883,0.008946877571258534,0.00978492438366508,0.5417808219178084,0.5186309245287666,0.009930730191984686,0.009643338800893781
DistalPhalanxTW,0.8487278520735769,0.625343017726766,0.8109893071672774,0.5522116511665686,0.5595391056049219,0.6283858998144712,0.7314689365615078,0.5543817071542058,0.5659690972726562
ECG200,0.6277738693467336,0.24723548214429786,0.09962250147795933,0.15305301204578742,0.1564104176270497,0.7545,0.6631620271854591,0.15623060316913479,0.1566178573631931
ECG5000,0.7748908181636327,0.5369278096293438,0.6329601958155665,0.5541396306077525,0.5547834020716786,0.6928799999999999,0.7214843816082078,0.6960297682813792,0.4617610300037587
ECGFiveDays,0.7606831913007385,0.5214679405107118,0.34151470171831994,0.49613410868333474,0.49657713847576074,0.8056561085972852,0.7817869547151071,0.49270156655969366,0.500646739662065
EOGHorizontalSignal,0.8438011508218517,0.0855071360296242,0.5482738266050149,0.20056732966623084,0.22937446943077228,0.2218232044198895,0.1715615516314561,0.22064636872925464,0.23886192422370495
EOGVerticalSignal,0.8311356151089309,0.009856034641886993,0.1612244140925939,0.03100025992929877,0.06719975688806618,0.1519337016574586,0.10218995513816402,0.06488287383752914,0.06969800089598002
Earthquakes,0.5312817127228143,-0.07870185375610356,0.030048587315110835,0.05605184944524592,0.05826271778422361,0.6106290672451193,0.654170421703143,0.059762653188840366,0.05974999223725004
ElectricDevices,0.7671246224868387,0.22250399978648824,0.6302495222005888,0.34982365878962185,0.35021487893153047,0.40436977820520525,0.3651300710281515,0.3473896661698601,0.35320550000762085
EthanolLevel,0.6140187008695032,0.0035601284038883447,0.012581148972111784,0.005965229808933216,0.009259022256812185,0.2912350597609562,0.26459553277593956,0.009075432571361104,0.00945144356839091
FaceAll,0.9371135418210563,0.6221749816705494,1.9867832475872418,0.7937401551345072,0.7967389803773759,0.7664444444444445,0.6587186003534705,0.7806455922164464,0.813754272390043
FaceFour,0.904118404118404,0.7566240713645429,1.0828823923938906,0.7989521663099514,0.8055145858482554,0.8366071428571427,0.823509528426421,0.78789101903607,0.8250374889099488
FacesUCR,0.9315314855985374,0.5959706643557484,1.95379943991494,0.7830660622572395,0.7862348410026219,0.7382666666666667,0.6362514432394231,0.7676856157795772,0.8059035318207842
FiftyWords,0.9591280007822813,0.3780335726946942,2.505724402554382,0.5701547033308799,0.6857216922983214,0.4576795580110497,0.4168202998420826,0.7132017610482204,0.6602905375449536
Fish,0.8987458043389276,0.6100130009294145,1.3565489200907836,0.7029418101198238,0.7113440156463036,0.7311428571428571,0.6717210495359939,0.6971282413781293,0.726398617477997
FordA,0.5170599537736893,0.03410292621356807,0.018902405583639863,0.027474122171745358,0.02761852096411811,0.5924812030075188,0.5251687962926092,0.027284785327486454,0.02796067008569027
FordB,0.6269116056849169,0.2538192128988403,0.155392154185629,0.2300389725646994,0.23016770406163656,0.7225146198830409,0.6416366306600215,0.22423075626873,0.23642953170209333
FreezerRegularTrain,0.6190156941202624,0.23809714664344267,0.12616261967192427,0.1820854211209528,0.1823472073365083,0.7188333333333332,0.6598955967329786,0.1820141857462457,0.1952839812668699
FreezerSmallTrain,0.6202448645568615,0.2405574238368689,0.12775330150494338,0.18465147968141782,0.18490325199494995,0.7204308547602503,0.6606896572570673,0.18430905453837432,0.19533846997096832
GunPoint,0.5196884422110553,0.039527151146763424,0.03285547676089937,0.0481755769238799,0.051685184382168,0.5469999999999999,0.5258170168303791,0.04740043338899216,0.05682155548447161
GunPointAgeSpan,0.5473762010347376,0.09510216544836474,0.07350768549774525,0.11764293340468993,0.11917310308821882,0.6427937915742794,0.5859765852523553,0.10605857676187705,0.13968434431924784
GunPointMaleVersusFemale,0.7824508499630451,0.5648662546934746,0.37486695285528393,0.5541175728886742,0.5548976220615269,0.8523281596452328,0.8041492061817401,0.5418356521062041,0.5708590703511001
GunPointOldVersusYoung,0.5136733185513672,0.02735533753963875,0.020937342659606905,0.03234649647249669,0.03402849617662754,0.5815964523281597,0.5547539972692724,0.03025353333326211,0.03972828175062923
Ham,0.512425957614848,0.025050995611826214,0.016099415754381282,0.020713623056313052,0.024127074910788714,0.5752336448598131,0.5264497967108246,0.02324999068924742,0.02510514104111919
HandOutlines,0.5571660277361599,0.05056542554753453,0.032248473375037966,0.08045787923659553,0.08131833067008284,0.6694890510948905,0.7279196325229861,0.04929674776487602,0.23415553360852207
Haptics,0.6722018082709227,0.08961490387128418,0.18697357798852202,0.11461148101795042,0.1249090428226863,0.35313174946004317,0.30044247487969905,0.11645385336823641,0.1352950962357308
Herring,0.5080954724409449,0.0101543733021433,0.008560846214348081,0.007428821723455446,0.013722157619805572,0.5734375,0.5551748727683385,0.012732286564162091,0.01561220254407356
HouseTwenty,0.8030730037417403,0.6051267685954915,0.3658139247909988,0.5376495581435456,0.5402314671521564,0.8559748427672955,0.8312237896226706,0.5332639581698262,0.5539534193978726
InlineSkate,0.7501287187388883,0.044581345206795416,0.23454690923481603,0.11034002033435364,0.12366372540528499,0.24107692307692305,0.19203218852982112,0.12214008575214677,0.12534911621490866
InsectEPGRegularTrain,0.7460118244995333,0.4517824128287641,0.5354885316723001,0.5081674671947104,0.5112217840618024,0.6517684887459806,0.6513559002124996,0.5249132124279512,0.4982380108004573
InsectEPGSmallTrain,0.7768846644914172,0.5259407867964339,0.5702146151161681,0.556418900610001,0.5597271832286633,0.7278195488721805,0.7061977250938438,0.5577996286894592,0.5634396437223596
InsectWingbeatSound,0.8837320269544009,0.3458341409840324,1.246807091037605,0.5243400021089234,0.5289892390807183,0.49331818181818177,0.41124226511737455,0.5199589428201205,0.5383603340933739
ItalyPowerDemand,0.6074117588241177,0.21490952029140917,0.1370895808998704,0.20328300222702245,0.20383274809585966,0.6694343065693431,0.6303488087926963,0.19777893359845328,0.2102732904110532
LargeKitchenAppliances,0.5542686248331108,0.02104940999660652,0.022061866441350938,0.01814831744040495,0.020603227615515942,0.4197333333333333,0.36285315938135104,0.020081576247519852,0.02115290695322275
Lightning2,0.5198898071625344,0.03354843865961336,0.010931569872396634,0.010781319605378446,0.017360704644993504,0.606611570247934,0.5688513850330357,0.01627573038675948,0.018604215546621818
